School,Municipality,Board,School Level,Students,Staff,Total Cases,Status
Mount Hope Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,2,0,2,Active
Nora Frances Henderson Secondary School,Hamilton,Hamilton-Wentworth DSB,Secondary,2,0,2,Active
Orchard Park Secondary School,Hamilton,Hamilton-Wentworth DSB,Secondary,1,0,1,Active
Our Lady of Hope Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,1,0,1,Active
Our Lady of Mount Carmel Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,1,0,1,Active
Pauline Johnson Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,1,2,Active
Prince of Wales Elementary Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,2,0,2,Active
Queen Victoria Elementary School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
R A Riddell Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,5,0,5,Active
Rebecca Street Alternative Education Secondary School,Hamilton,Hamilton-Wentworth DSB,Secondary,1,0,1,Active
Ryerson Middle School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
Saltfleet High School,Hamilton,Hamilton-Wentworth DSB,Secondary,2,0,2,Active
Sherwood Secondary School,Hamilton,Hamilton-Wentworth DSB,Secondary,2,0,2,Active
Sir Allan MacNab Secondary School,Hamilton,Hamilton-Wentworth DSB,Secondary,2,0,2,Active
Sir Isaac Brock Junior Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,2,0,2,Active
St Agnes Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,0,1,1,Active
St Bernadette Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,5,1,6,Active
St Clare of Assisi Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,2,0,2,Active
St James the Apostle Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,1,0,1,Active
St Jean de Brebeuf Catholic Secondary School,Hamilton,Hamilton-Wentworth CDSB,Secondary,0,1,1,Active
St John Henry Newman Catholic Secondary School,Hamilton,Hamilton-Wentworth CDSB,Secondary,2,1,3,Active
St John the Baptist CES,Hamilton,Hamilton-Wentworth CDSB,Elementary,1,0,1,Active
St Kateri Tekakwitha Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,2,0,2,Active
St Luke Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,1,0,1,Active
St Mary Catholic Secondary School,Hamilton,Hamilton-Wentworth CDSB,Secondary,1,0,1,Active
St Michael Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,2,0,2,Active
St Thomas More Catholic Secondary School,Hamilton,Hamilton-Wentworth CDSB,Secondary,3,2,5,Active
St ThÃ©rÃ¨se of Lisieux Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,4,1,5,Active
St Vincent de Paul Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,0,1,1,Active
Strathcona Junior Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
Sts Peter and Paul Catholic Elementary School,Hamilton,Hamilton-Wentworth CDSB,Elementary,8,0,8,Active
Tiffany Hills Elementary School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,1,2,Active
Viscount Montgomery Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
W H Ballard Public School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
Westdale Secondary School,Hamilton,Hamilton-Wentworth DSB,Secondary,3,0,3,Active
Westmount Secondary School,Hamilton,Hamilton-Wentworth DSB,Secondary,2,0,2,Active
Westview Middle School,Hamilton,Hamilton-Wentworth DSB,Elementary,1,0,1,Active
Winona Elementary School,Hamilton,Hamilton-Wentworth DSB,Elementary,0,1,1,Active
Ã‰IC MÃ¨re-Teresa,Hamilton,CS catholique MonAvenir,Elementary,1,0,1,Active
Ã‰cole Secondaire AcadÃ©mie Catholique MÃ¨re-Teresa,Hamilton,CS catholique MonAvenir,Secondary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire Pavillon de la Jeunesse,Hamilton,CS Viamonde,Elementary,4,4,8,Active
Ã‰Ã‰C Monseigneur-de-Laval,Hamilton,CS catholique MonAvenir,Elementary,4,0,4,Active
Ã‰Ã‰C Notre-Dame,Hamilton,CS catholique MonAvenir,Elementary,1,1,2,Active
Ã‰cole intermÃ©diaire catholique - Pavillon Hawkesbury,Hawkesbury,CSDC de l'Est ontarien,Elementary,1,0,1,Active
Ã‰cole secondaire catholique rÃ©gionale de Hawkesbury,Hawkesbury,CSDC de l'Est ontarien,Secondary,2,1,3,Active
Ã‰cole Ã©lÃ©mentaire publique Le Sommet,Hawkesbury,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire publique Nouvel Horizon,Hawkesbury,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,0,2,2,Active
Riverside Public School,Huntsville,Trillium Lakelands DSB,Elementary,0,1,1,Active
Ripley-Huron Community - Junior Campus School,Huron-Kinloss,Bluewater DSB,Elementary,1,0,1,Active
Harrisfield Public School,Ingersoll,Thames Valley DSB,Elementary,1,0,1,Active
St Jude's School,Ingersoll,London District Catholic School Board,Elementary,0,1,1,Active
Alcona Glen Elementary School,Innisfil,Simcoe County DSB,Elementary,2,0,2,Active
Goodfellow Public School,Innisfil,Simcoe County DSB,Elementary,1,0,1,Active
Holy Cross Catholic School,Innisfil,Simcoe Muskoka CDSB,Elementary,1,1,2,Active
Nantyr Shores Secondary School,Innisfil,Simcoe County DSB,Secondary,2,0,2,Active
Lady Mackenzie Public School,Kawartha Lakes,Trillium Lakelands DSB,Elementary,1,0,1,Active
Evergreen Public School,Kenora,Keewatin-Patricia DSB,Elementary,1,0,1,Active
Valleyview Public School,Kenora,Keewatin-Patricia DSB,Elementary,1,0,1,Active
Elgin Market Public School,Kincardine,Bluewater DSB,Elementary,1,0,1,Active
Holy Name Catholic Elementary School,King,York CDSB,Elementary,0,0,2,Active
King City Public School,King,York Region DSB,Elementary,0,0,1,Active
King City Secondary School,King,York Region DSB,Secondary,0,0,1,Active
Nobleton Public School,King,York Region DSB,Elementary,0,0,2,Active
Elementary Remote Learning,Kingston,Limestone DSB,Elementary,0,2,2,Active
Holy Cross Catholic Secondary School,Kingston,Algonquin and Lakeshore CDSB,Secondary,1,1,2,Active
John XXIII Catholic School,Kingston,Algonquin and Lakeshore CDSB,Elementary,1,0,1,Active
La Salle Secondary School,Kingston,Limestone DSB,Secondary,1,0,1,Active
Lord Strathcona Public School,Kingston,Limestone DSB,Elementary,1,0,1,Active
Winston Churchill Public School,Kingston,Limestone DSB,Elementary,1,0,1,Active
Jack Miner Public School,Kingsville,Greater Essex County DSB,Elementary,1,0,1,Active
Canadian Martyrs Catholic Elementary School,Kitchener,Waterloo CDSB,Elementary,1,0,1,Active
Mackenzie King Public School,Kitchener,Waterloo Region DSB,Elementary,1,0,1,Active
Margaret Avenue Public School,Kitchener,Waterloo Region DSB,Elementary,0,1,1,Active
Our Lady of Grace Catholic Elementary School,Kitchener,Waterloo CDSB,Elementary,1,0,1,Active
Queen Elizabeth Public School,Kitchener,Waterloo Region DSB,Elementary,3,0,3,Active
Queensmount Public School,Kitchener,Waterloo Region DSB,Elementary,2,0,2,Active
Resurrection Catholic Secondary School,Kitchener,Waterloo CDSB,Secondary,1,1,2,Active
Sandhills Public School,Kitchener,Waterloo Region DSB,Elementary,1,0,1,Active
Sheppard Public School,Kitchener,Waterloo Region DSB,Elementary,1,0,1,Active
St Bernadette Catholic Elementary School,Kitchener,Waterloo CDSB,Elementary,0,1,1,Active
St Dominic Savio Catholic Elementary School,Kitchener,Waterloo CDSB,Elementary,1,1,2,Active
St John Catholic Elementary School,Kitchener,Waterloo CDSB,Elementary,3,0,3,Active
St Paul Catholic Elementary School,Kitchener,Waterloo CDSB,Elementary,1,1,2,Active
Trillium Public School,Kitchener,Waterloo Region DSB,Elementary,2,0,2,Active
Ã‰cole Ã‰lementaire Catholique Cardinal-LÃ©ger,Kitchener,CS catholique MonAvenir,Elementary,1,0,1,Active
Centennial Central Public School,Lakeshore,Greater Essex County DSB,Elementary,2,0,2,Active
St Anne Secondary School,Lakeshore,Windsor-Essex CDSB,Secondary,1,0,1,Active
St John the Baptist Catholic School,Lakeshore,Windsor-Essex CDSB,Elementary,1,0,1,Active
St William Catholic School,Lakeshore,Windsor-Essex CDSB,Elementary,1,0,1,Active
North Lambton Secondary School,Lambton Shores,Lambton Kent DSB,Secondary,5,0,5,Active
Prince Andrew Public School,Lasalle,Greater Essex County DSB,Elementary,1,0,1,Active
Sandwich Secondary School,Lasalle,Greater Essex County DSB,Secondary,1,0,1,Active
Sandwich West Public School,Lasalle,Greater Essex County DSB,Elementary,1,0,1,Active
Ã‰cole Ã©lÃ©mentaire catholique Monseigneur Augustin Caron,Lasalle,Conseil scolaire catholique Providence,Elementary,2,0,2,Active
Senator Gibson Public School,Lincoln,DSB Niagara,Elementary,1,0,1,Active
St Mark Catholic Elementary School,Lincoln,Niagara CDSB,Elementary,2,0,2,Active
AB Lucas Secondary School,London,Thames Valley DSB,Secondary,2,0,2,Active
Ashley Oaks Public School,London,Thames Valley DSB,Elementary,2,0,2,Active
Glen Cairn Public School,London,Thames Valley DSB,Elementary,2,0,2,Active
Holy Rosary Separate School,London,London District Catholic School Board,Elementary,5,0,5,Active
Louise Arbour French Immersion Public School,London,Thames Valley DSB,Elementary,1,0,1,Active
Masonville Public School,London,Thames Valley DSB,Elementary,1,0,1,Active
Mother Teresa Catholic Secondary School,London,London District Catholic School Board,Secondary,0,3,3,Active
Mountsfield Public School,London,Thames Valley DSB,Elementary,2,0,2,Active
Nicholas Wilson Public School,London,Thames Valley DSB,Elementary,1,0,1,Active
Northridge Public School,London,Thames Valley DSB,Elementary,3,0,3,Active
Sir Frederick Banting Secondary School,London,Thames Valley DSB,Secondary,2,0,2,Active
Sir Wilfrid Laurier Secondary School,London,Thames Valley DSB,Secondary,2,0,2,Active
St Andre Bessette Catholic Secondary School,London,London District Catholic School Board,Secondary,1,0,1,Active
Westminster Secondary School,London,Thames Valley DSB,Secondary,1,0,1,Active
Woodland Heights Public School,London,Thames Valley DSB,Elementary,1,0,1,Active
Ã‰cole secondaire Gabriel-Dumont,London,CS Viamonde,Secondary,1,0,1,Active
Bath Public School,Loyalist,Limestone DSB,Elementary,2,0,2,Active
Ernestown Secondary School,Loyalist,Limestone DSB,Secondary,1,0,1,Active
Aldergrove Public School,Markham,York Region DSB,Elementary,0,0,1,Active
All Saints Catholic Elementary School,Markham,York CDSB,Elementary,0,0,1,Active
Baythorn Public School,Markham,York Region DSB,Elementary,0,0,2,Active
Bayview Fairways Public School,Markham,York Region DSB,Elementary,0,0,1,Active
Bill Crothers Secondary School,Markham,York Region DSB,Secondary,0,0,13,Active
Bill Hogarth Secondary School,Markham,York Region DSB,Secondary,0,0,1,Active
Boxwood Public School,Markham,York Region DSB,Elementary,0,0,1,Active
Bur Oak Secondary School,Markham,York Region DSB,Secondary,0,0,3,Active
Buttonville Public School,Markham,York Region DSB,Elementary,0,0,1,Active
David Suzuki Public School,Markham,York Region DSB,Elementary,0,0,1,Active
Ellen Fairclough Public School,Markham,York Region DSB,Elementary,0,0,5,Active
Franklin Street Public School,Markham,York Region DSB,Elementary,0,0,3,Active
Henderson Avenue Public School,Markham,York Region DSB,Elementary,0,0,8,Active
John McCrae Public School,Markham,York Region DSB,Elementary,0,0,1,Active
Legacy Public School,Markham,York Region DSB,Elementary,0,0,1,Active
Markham District High School,Markham,York Region DSB,Secondary,0,0,1,Active
Markham Gateway Public School,Markham,York Region DSB,Elementary,0,0,2,Active
Middlefield Collegiate Institute,Markham,York Region DSB,Secondary,0,0,2,Active
Milliken Mills High School,Markham,York Region DSB,Secondary,0,0,1,Active
Mount Joy Public School,Markham,York Region DSB,Elementary,0,0,3,Active
Parkland Public School,Markham,York Region DSB,Elementary,0,0,1,Active
Rouge Park Public School,Markham,York Region DSB,Elementary,0,0,1,Active
San Lorenzo Ruiz Catholic Elementary School,Markham,York CDSB,Elementary,0,0,1,Active
St Anthony Catholic Elementary School,Markham,York CDSB,Elementary,0,0,2,Active
St Brother AndrÃ© Catholic High School,Markham,York CDSB,Secondary,0,0,2,Active
St John XXIII Catholic Elementary School,Markham,York CDSB,Elementary,0,0,1,Active
St Kateri Tekakwitha Catholic Elementary School,Markham,York CDSB,Elementary,0,0,1,Active
St Monica Catholic Elementary School,Markham,York CDSB,Elementary,0,0,1,Active
St. Patrick CES - Markham,Markham,York CDSB,Elementary,0,0,1,Active
Thornhill Secondary School,Markham,York Region DSB,Secondary,0,0,1,Active
Thornlea Secondary School,Markham,York Region DSB,Secondary,0,0,1,Active
Unionville Meadows Public School,Markham,York Region DSB,Elementary,0,0,2,Active
Victoria Square Public School,Markham,York Region DSB,Elementary,0,0,2,Active
William Berczy Public School,Markham,York Region DSB,Elementary,0,0,1,Active
Willowbrook Public School,Markham,York Region DSB,Elementary,0,0,2,Active
Wismer Public School,Markham,York Region DSB,Elementary,0,0,1,Active
Georgian Bay District Secondary School,Midland,Simcoe County DSB,Secondary,4,1,5,Active
Bishop Paul Francis Reding Secondary School,Milton,Halton CDSB,Secondary,1,0,1,Active
Bruce Trail Public School,Milton,Halton DSB,Elementary,1,0,1,Active
Chris Hadfield Public School,Milton,Halton DSB,Elementary,3,0,3,Active
Craig Kielburger Secondary School,Milton,Halton DSB,Secondary,1,0,1,Active
E W Foster School,Milton,Halton DSB,Elementary,1,0,1,Active
Guardian Angels Catholic Elementary School,Milton,Halton CDSB,Elementary,5,2,7,Active
Holy Rosary (Milton) Catholic Elementary School,Milton,Halton CDSB,Elementary,1,0,1,Active
Lumen Christi Catholic Elementary School,Milton,Halton CDSB,Elementary,1,0,1,Active
Martin Street Public School,Milton,Halton DSB,Elementary,1,0,1,Active
Milton District High School,Milton,Halton DSB,Secondary,1,0,1,Active
Queen of Heaven Catholic Elementary School,Milton,Halton CDSB,Elementary,6,1,7,Active
Sam Sherratt Public School,Milton,Halton DSB,Elementary,1,0,1,Active
St Anthony of Padua Catholic Elementary School,Milton,Halton CDSB,Elementary,5,1,6,Active
St Benedict Catholic Elementary School,Milton,Halton CDSB,Elementary,2,0,2,Active
St Peter Catholic Elementary School,Milton,Halton CDSB,Elementary,1,0,1,Active
St Scholastica Catholic Elementary School,Milton,Halton CDSB,Elementary,4,0,4,Active
Tiger Jeet Singh Public School,Milton,Halton DSB,Elementary,7,0,7,Active
Viola Desmond Public School,Milton,Halton DSB,Elementary,2,0,2,Active
Archie Stouffer Elementary School,Minden Hills,Trillium Lakelands DSB,Elementary,1,0,1,Active
All Saints Catholic School,Mississauga,Dufferin-Peel CDSB,Elementary,0,1,1,Active
Applewood Heights Secondary School,Mississauga,Peel DSB,Secondary,0,0,1,Active
Artesian Drive Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Bishop Scalabrini School,Mississauga,Dufferin-Peel CDSB,Elementary,0,1,1,Active
Brian W. Fleming Public School,Mississauga,Peel DSB,Elementary,0,0,2,Active
Britannia Public School,Mississauga,Peel DSB,Elementary,0,0,3,Active
Burnhamthorpe Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Camilla Road Senior Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Cashmere Avenue Public School,Mississauga,Peel DSB,Elementary,0,0,2,Active
Castlebridge Public School,Mississauga,Peel DSB,Elementary,0,0,2,Active
Cawthra Park Secondary School,Mississauga,Peel DSB,Secondary,0,0,3,Active
Champlain Trail Public School,Mississauga,Peel DSB,Elementary,0,0,2,Active
Churchill Meadows Public School,Mississauga,Peel DSB,Elementary,0,0,3,Active
Clarkson Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Clarkson Secondary School,Mississauga,Peel DSB,Secondary,0,0,5,Active
Cooksville Creek Public School,Mississauga,Peel DSB,Elementary,0,0,2,Active
Corpus Christi School,Mississauga,Dufferin-Peel CDSB,Elementary,1,0,1,Active
Credit Valley Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Darcel Avenue Senior Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
David Leeder Middle School,Mississauga,Peel DSB,Elementary,0,0,2,Active
Dolphin Senior Public School,Mississauga,Peel DSB,Elementary,0,0,2,Active
Dunrankin Drive Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Elm Drive (Elementary),Mississauga,Peel DSB,Elementary,0,0,1,Active
Erin Centre Middle School,Mississauga,Peel DSB,Elementary,0,0,2,Active
Erin Mills Middle School,Mississauga,Peel DSB,Elementary,0,0,2,Active
Erindale Secondary School,Mississauga,Peel DSB,Secondary,0,0,1,Active
Fairview Public School,Mississauga,Peel DSB,Elementary,0,0,3,Active
Fairwind Senior Public School,Mississauga,Peel DSB,Elementary,0,0,3,Active
Fallingbrook Middle School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Father Daniel Zanon Elementary School,Mississauga,Dufferin-Peel CDSB,Elementary,1,0,1,Active
Fletcher's Meadow Secondary School,Mississauga,Peel DSB,Secondary,0,0,3,Active
Floradale Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Green Glade Senior Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Hillcrest Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Hillside Public School Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Holy Cross School,Mississauga,Dufferin-Peel CDSB,Elementary,2,0,2,Active
Homelands Senior Public School,Mississauga,Peel DSB,Elementary,0,0,3,Active
Huntington Ridge Public School,Mississauga,Peel DSB,Elementary,0,0,3,Active
Iona Catholic Secondary School,Mississauga,Dufferin-Peel CDSB,Secondary,2,0,2,Active
Janet I. McDougald Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Kenollie Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Kindree Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Lancaster Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Levi Creek Public School,Mississauga,Peel DSB,Elementary,0,0,6,Active
McKinnon Public School,Mississauga,Peel DSB,Elementary,0,0,3,Active
Metropolitan Andrei Catholic School,Mississauga,Dufferin-Peel CDSB,Elementary,1,0,1,Active
Munden Park Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Nahani Way Public School,Mississauga,Peel DSB,Elementary,0,0,5,Active
Oscar Peterson Public School,Mississauga,Peel DSB,Elementary,0,0,5,Active
Our Lady of Good Voyage Elementary School,Mississauga,Dufferin-Peel CDSB,Elementary,1,1,2,Active
Our Lady of Mount Carmel Secondary School,Mississauga,Dufferin-Peel CDSB,Secondary,2,0,2,Active
Peel Alternative Literacy/Numeracy Middle School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Port Credit Secondary School,Mississauga,Peel DSB,Secondary,0,0,2,Active
Queen Elizabeth Senior Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Rick Hansen Secondary School,Mississauga,Peel DSB,Secondary,0,0,1,Active
Ridgewood Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Riverside Public School,Mississauga,Peel DSB,Elementary,0,0,1,Active
Ruth Thompson Middle School,Mississauga,Peel DSB,Elementary,0,0,1,Active
